受付_年月日,全国地方公共団体コード,都道府県名,市区町村名,相談件数
2020-02-27,160008,富山県,,96.0
2020-02-28,160008,富山県,,8.0
2020-02-29,160008,富山県,,4.0
2020-03-01,160008,富山県,,4.0
2020-03-02,160008,富山県,,6.0
2020-03-03,160008,富山県,,8.0
2020-03-04,160008,富山県,,10.0
2020-03-05,160008,富山県,,6.0
2020-03-06,160008,富山県,,9.0
2020-03-07,160008,富山県,,1.0
2020-03-08,160008,富山県,,2.0
2020-03-09,160008,富山県,,13.0
2020-03-10,160008,富山県,,7.0
2020-03-11,160008,富山県,,12.0
2020-03-12,160008,富山県,,6.0
2020-03-13,160008,富山県,,2.0
2020-03-14,160008,富山県,,1.0
2020-03-15,160008,富山県,,6.0
2020-03-16,160008,富山県,,8.0
2020-03-17,160008,富山県,,6.0
2020-03-18,160008,富山県,,8.0
2020-03-19,160008,富山県,,7.0
2020-03-20,160008,富山県,,1.0
2020-03-21,160008,富山県,,6.0
2020-03-22,160008,富山県,,5.0
2020-03-23,160008,富山県,,11.0
2020-03-24,160008,富山県,,7.0
2020-03-25,160008,富山県,,8.0
2020-03-26,160008,富山県,,9.0
2020-03-27,160008,富山県,,12.0
2020-03-28,160008,富山県,,2.0
2020-03-29,160008,富山県,,5.0
2020-03-30,160008,富山県,,16.0
2020-03-31,160008,富山県,,12.0
2020-04-01,160008,富山県,,37.0
2020-04-02,160008,富山県,,25.0
2020-04-03,160008,富山県,,9.0
2020-04-04,160008,富山県,,12.0
2020-04-05,160008,富山県,,14.0
2020-04-06,160008,富山県,,40.0
2020-04-07,160008,富山県,,16.0
2020-04-08,160008,富山県,,32.0
2020-04-09,160008,富山県,,38.0
2020-04-10,160008,富山県,,15.0
2020-04-11,160008,富山県,,14.0
2020-04-12,160008,富山県,,18.0
2020-04-13,160008,富山県,,30.0
2020-04-14,160008,富山県,,35.0
2020-04-15,160008,富山県,,35.0
2020-04-16,160008,富山県,,26.0
2020-04-17,160008,富山県,,29.0
2020-04-18,160008,富山県,,20.0
2020-04-19,160008,富山県,,9.0
2020-04-20,160008,富山県,,41.0
2020-04-21,160008,富山県,,32.0
2020-04-22,160008,富山県,,30.0
2020-04-23,160008,富山県,,27.0
2020-04-24,160008,富山県,,36.0
2020-04-25,160008,富山県,,9.0
2020-04-26,160008,富山県,,13.0
2020-04-27,160008,富山県,,
